ID,Gender,ToverR,RTotal,RQ1,RQ2,RQ3,RQ4,RQ5,RQ6,RQ7,RQ8,RQ9,RQ10,RQ11,RQ12,RQ13,RQ14,RQ15,RQ16,TTotal,TQ1,TQ2,TQ3,TQ4,TQ5,TQ6,TQ7,TQ8,RQ9,RQ10,RQ11,RQ12,RQ13,RQ14,RQ15,RQ16
1,F,"6,933333333",15,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,104,12,3,3,3,6,3,4,2,2,4,6,2,2,1,3,9
2,F,"7,071428571",14,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,99,7,3,7,1,12,2,4,1,4,3,10,2,4,2,3,6
3,F,"7,333333333",12,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,88,5,6,4,3,5,2,6,1,1,1,5,2,1,6,2,5
4,F,"12,45454545",11,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,137,15,4,13,2,3,2,3,8,17,6,7,4,3,4,5,8
5,F,"14,4",10,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,144,8,7,10,12,11,12,9,3,10,2,3,3,5,2,6,1
6,F,21,9,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,189,9,6,11,5,17,13,10,13,5,4,5,6,6,9,5,9
7,F,"13,44444444",9,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,121,18,5,14,14,4,3,4,2,6,2,1,2,1,1,1,2
8,F,"17,66666667",9,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,159,22,9,22,11,30,16,8,2,8,3,3,8,5,3,5,2
9,F,"17,44444444",9,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,157,13,6,2,9,11,3,2,10,5,12,6,6,4,8,9,2
10,F,"16,77777778",9,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,151,17,4,15,24,10,1,10,1,8,6,2,2,12,6,9,1
11,F,"21,875",8,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,175,11,3,1,6,19,7,17,7,12,8,3,2,5,6,8,3
12,F,"11,75",8,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,94,6,6,5,4,2,2,4,2,13,2,3,6,2,3,2,6
13,M,"21,625",8,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,173,7,11,9,5,7,6,4,3,2,2,20,8,2,12,3,3
14,F,"16,57142857",7,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,116,8,7,9,3,6,4,4,2,6,8,5,2,8,8,3,4
15,F,"21,14285714",7,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,148,13,5,5,9,8,3,21,1,13,5,5,2,2,8,3,5
16,F,"16,14285714",7,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,113,6,8,3,6,6,1,3,1,4,6,4,4,3,1,1,2
17,M,"11,14285714",7,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,78,5,6,2,4,4,1,2,3,1,1,2,7,2,2,1,2
18,F,"23,16666667",6,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,139,5,2,5,7,8,5,9,11,29,2,3,1,6,1,5,6
19,F,"19,5",6,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,117,8,10,4,2,6,1,6,4,2,2,11,8,4,3,5,9
20,M,"15,83333333",6,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,95,11,6,11,4,7,3,1,2,2,1,2,2,3,1,1,1
21,F,"56,2",5,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,281,3,3,18,19,1,2,3,2,2,4,1,1,2,1,2,3
22,M,"26,14285714",7,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,183,11,4,18,4,7,5,9,4,20,9,6,4,6,10,9,4
23,M,"30,91666667",12,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,371,8,3,6,5,16,13,5,37,1,1,1,1,9,1,16,7
24,M,"30,125",8,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,241,7,23,9,17,16,11,8,4,8,6,6,6,3,6,5,6
25,F,"18,14285714",7,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,127,6,12,14,2,13,3,3,6,2,3,9,4,1,2,3,2
26,M,"31,6",5,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,158,10,3,14,7,8,2,2,2,2,38,4,1,2,2,3,3
27,F,"36,33333333",3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,109,9,2,5,3,11,5,3,2,3,3,2,9,5,5,2,4